== List ==
{| class="wikitable"
!Speaker
!Speech length
!Range of Speech
!Country
!Office
|-
|[[Alekso IV]]
|{{#invoke:AttuCalendar|years_between|8-9 18 PC|present}} years
|8-9 18 PC – present
|[[Kingdom of Tietero]]
|[[Reĝo of Tietero]]
|-
|[[Deyg Arthur]]
|{{#invoke:AttuCalendar|years_between|4-9 22 PC|present}} years
|4-9 22 PC – present
|[[Deysachin]]
|Trumpeteer of God's Will
|-
|[[Vidar Astridson]]
|25 years, 252 days (total)<br>3 years, 19 days (first time)<br>22 years, 233 days (second time)
|18-2 1 PC – 7-3 4 PC (first time)<br>7-5 18 PC – 1-1 41 PC (second time)
|[[Nation of Niueyjar]] (first time)<br>[[Confederated Nations of Niueyjar]] (second time)
|[[Self Appointed Diplomat of the Nation of Niueyjar]] (first time)<br>[[Council Head of the Council of Directors of the Confederated Nations of Niueyjar]] (second time)
|-
|[[Cok Ulri]]
|19 years, 274 days
|20-5 2 PC – 24-2 22 PC
|[[Haute eee]]
|[[Roy of Haute eee]]
|-
|[[Harakar Oken]]
|18 years, 311 days
|18-2 1 PC – 29-12 19 PC
|[[Kingdom of Akaria]]
|[[Living King]]
|-
|[[Edward]]
|~17 years
|9-7 9 PC – 26 PC
|[[Tun'ilhameng Liberation Procedure (Nation)|Tun'ilhameng Liberation Procedure]]
|Leader of the TLP
|-
|[[Libel Slandrason]]
|16 years
|1-1 41 PC – 1-1 57 PC 
|[[Confederated Nations of Niueyjar]]
|[[Council Head of the Council of Directors of the Confederated Nations of Niueyjar]]
|-
|[[Psaha Yol]]
|~15 years 313 days (total)<br>5 years, 313 days (first time)<br>~10 years (second time)
|3-1 2 PC – 16-11 7 PC (first time)<br>15-12 16 PC – 26 PC (second time)
|[[Yotumic Divisionary Federation]]
|Representative of the YDF (first time)<br>[[Leader of the YDF]] (second time)
|-
|[[Yyme Braia]]
|15 years, 285 days
|18-2 1 PC – 3-12 16 PC
|[[Republic of Utlia]]
|[[President of Utlia]]
|-
|[[Ire Liamia]]
|~15 years (total), <br>7 years, 164 days (first time), <br>~9 years (second time)
|27-6 24 PC – 11-1 32 PC (first time) <br>9-1 43 PC - 52 pc (second time)
|[[Republic of Utlia]]
|[[President of Utlia]]
|-
|[[Aakar Orit]]
|~14 years
|6-2 12 PC – 26 PC
|[[United Okriti Republic]] (until 24 PC)<br>[[Okriti Federated Government]] (after 24 PC)
|President of [[Okriti Federated Government|Okrit]]
|-
|[[Jercofa Yechac]]
|~13 years
|20-7 39 PC – 52 pc
|[[Caseic Federation]]
|[[Federal Foreign Minister]]
|-
|[[Chuwe Brifam]]
|12 years, 296 days
|13-1 19 PC – 9-11 31 PC
|[[Caseic Federation]]
|Acting [[Federal Foreign Minister]]
|-
|[[Lightning Perat|Lightning Arkara and Perat]]
|12 years, 150 days
|17-7 26 PC – 17-12 38 PC
|[[Kingdom of Akaria]]
|[[Living King]]
|-
|[[Aakar Byenama]]
|~11 years
|44 PC – 55 PC
|(until 54 PC) [[Okriti Federated Government]] 
(after 54 PC) [[West Attu Trade Company]]
|President of [[Okriti Federated Government|Okrit]]
Head of the [[West Attu Trade Company|WATC]]
|-
|[[Henriko II]]
|~11 years
|7 PC – 27-8 18 PC
|[[Kingdom of Tietero]]
|[[Reĝo of Tietero]]
|-
|[[Cya Iri-Semwache]]
|{{#invoke:AttuCalendar|years_between|20-7 52 PC|present}} years
|52 PC – present
|[[Caseic Federation]]
|[[Federal Foreign Minister]]
|-
|[[Csajjes Kwhp-Tnii]]
|10 years, 156 days
|27-1 25 PC – 3-6 35 PC
|The [[Qoeul-bo Hrnad]]
|[[Imam]] of the [[Qoeul-bo Hrnad]]
|-
|[[Dimasi V'sha]]
|{{#invoke:AttuCalendar|years_between|3-9 53 PC|present}} years
|3-9 53 PC – present
|[[T'vaqi]]
|[[T'vaqi#Government|Grand Magister]]
|-
|[[Casi Fromatica]]
|9 years, 62 days
|18-2 1 PC – 19-4 10 PC
|[[Caseic Federation]]
|[[Federal Foreign Minister]]
|-
|[[Yun Yan'il]]
|9 years, 27 days
|17-11 7 PC – 14-12 16 PC
|[[Yotumic Divisionary Federation]]
|[[Leader of the YDF]] 
|-
|[[Swyl Shote]]
|9 years, 25 days
|11-1 33 PC – 6-2 42 PC 
|[[Republic of Utlia]]
|[[President of Utlia]]
|-
|[[Sulim Hi'i]]
|~9 years
|late 50 PC – 59 PC
|[[Kalam]]
|Member of the [[Council of Elders]]
|-
|[[Nin-Sokyu Undo]]
|~9 years
|late 50 PC – 59 PC
|[[Kalam]]
|Member of the [[Council of Elders]]
|-
|[[Moyko Q'zar]]
|~9 years
|very late 50 PC –  59 PC
|[[Kalam]]
|Member of the [[Council of Elders]]
|-
|[[Ragašol Pu Hakay Hotosošo]]
|~9 years
|49 PC – 58 PC
|[[Goyhalna|Kingdom of Goyhalna]]
|[[King of Goyhalna]]
|-
|[[Toroy Hagawwa Tokšahalnal Ĥakananêy]]
|~9 years
|51 PC –  59 PC
